trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
120,False,"{'a': 0.5, 'e': 0.30119421191220214}",20,0,22.546100602820232,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
121,False,"{'a': 0.5, 'e': 0.2981972794298874}",25,0,15.492918611330275,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
122,False,"{'a': 0.5, 'e': 0.2952301669240142}",20,0,16.338351698693458,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
123,False,"{'a': 0.5, 'e': 0.2922925776808594}",25,4,-47.16724197028217,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 1}",1
124,False,"{'a': 0.5, 'e': 0.2893842179390506}",20,0,-30.47424459493964,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",0
125,False,"{'a': 0.5, 'e': 0.2865047968601901}",20,1,19.89245262627213,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.2836540264997704}",20,0,-13.127901971083649,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
127,False,"{'a': 0.5, 'e': 0.2808316217783798}",20,10,-5.502528250268087,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.27803730045319414}",20,7,10.597981564776598,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.27527078308975234}",30,16,3.8151442985842388,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.2725317930340126}",30,12,24.53532664253654,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.2698200563846868}",25,0,-76.72971697539842,"{0: 20, 1: 2, 2: 0, 3: 1, 4: 2}",0
132,False,"{'a': 0.5, 'e': 0.26713530196585034}",20,15,-1.756920592239454,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.26447726129982396}",20,12,13.937411451006692,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.261845668580326}",25,4,2.5998970486475823,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 0}",1
135,False,"{'a': 0.5, 'e': 0.2592402606458915}",35,2,-21.94605860167076,"{0: 30, 1: 0, 2: 1, 3: 1, 4: 1}",1
136,False,"{'a': 0.5, 'e': 0.2566607769535559}",20,9,18.426461591246046,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.25410695955280027}",20,0,2.412922174110875,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
138,False,"{'a': 0.5, 'e': 0.25157855305975646}",25,8,27.653560309067203,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.5, 'e': 0.24907530463166816}",20,2,-26.03399507255628,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
140,False,"{'a': 0.5, 'e': 0.24659696394160643}",25,19,9.341896066053932,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.2441432831534371}",20,9,20.997667406150782,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.24171401689703645}",25,16,17.83594889392867,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.23930892224375455}",25,13,24.79430213926735,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.23692775868212176}",30,1,-39.188185081036075,"{0: 25, 1: 0, 2: 2, 3: 1, 4: 1}",1
145,False,"{'a': 0.5, 'e': 0.23457028809379765}",25,14,19.048181941169904,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.5, 'e': 0.23223627472975883}",20,6,10.530812210539354,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
147,False,"{'a': 0.5, 'e': 0.22992548518672384}",20,0,-25.331536883087352,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
148,False,"{'a': 0.5, 'e': 0.22763768838381274}",30,17,25.561298865471773,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.22537265553943872}",25,3,36.83803794132885,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.22313016014842982}",20,11,5.199283431981187,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.2209099779593782}",35,15,21.756551178252572,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
152,False,"{'a': 0.5, 'e': 0.21871188695221475}",25,17,2.2294258732328975,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
153,False,"{'a': 0.5, 'e': 0.21653566731600707}",20,14,-2.850100383040821,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.21438110142697794}",20,4,5.459107117089017,"{0: 13, 1: 3, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.5, 'e': 0.21224797382674304}",20,13,12.398137390330245,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.21013607120076472}",20,12,15.306689474022644,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.20804518235702046}",30,13,-18.55579823177849,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
158,False,"{'a': 0.5, 'e': 0.20597509820488344}",35,16,32.12410733033153,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
